0.4199999, 0, 0, 5.948032, 1.563143, 0, 419.7378, -1478.245, -3.908116, 0.01207565, 0.1239967, 28.89945, 2.06354, 1.627834, 11.79117
0.6199997, -0.6035767, -0.09656529, 8.240141, 1.630504, 2.2102926877019581455422723900, 932.869, -1495.179, -3.908116, 0.01207565, 0.1239967, 43.09829, 1.938295, 1.617324, 11.92246
 
0.6299997, -0.6101144, -0.1026011, 8.358674, 1.633695, 2.1557780631988253603838491609, 964.6453, -1496.036, -3.908116, 0.01207565, 0.1239967, 43.82709, 1.940774, 1.616799, 11.92902
 
0.6399997, -0.6160362, -0.1087022, 8.477579, 1.636891, 2.1018097151679077966385545682, 997.0239, -1496.895, -3.908116, 0.01207565, 0.1239967, 44.5575, 1.943253, 1.616273, 11.93559
 
0.6499997, -0.621304, -0.1148626, 8.596752, 1.63999, 2.0483327020099884061757578583, 1030.008, -1497.754, -3.908116, 0.01207565, 0.1239967, 45.28953, 1.945735, 1.615748, 11.94215
 
0.6599997, -0.6258758, -0.1210756, 8.716396, 1.643194, 1.9952936518858277708114177274, 1063.601, -1498.615, -3.908116, 0.01207565, 0.1239967, 46.02317, 1.948222, 1.615222, 11.94871
 
0.6699997, -0.6297091, -0.1273344, 8.836306, 1.646301, 1.9426439022361193622012612225, 1097.806, -1499.476, -3.908116, 0.01207565, 0.1239967, 46.75839, 1.950716, 1.614697, 11.95528
 
0.6799996, -0.6327604, -0.1336315, 8.956577, 1.649412, 1.8903379300215119118941942905, 1132.623, -1500.338, -3.908116, 0.01207565, 0.1239967, 47.49517, 1.953218, 1.614172, 11.96184
 
0.6899996, -0.6349851, -0.1399591, 9.077159, 1.652477, 1.8383380610025423011720701288, 1168.057, -1501.201, -3.908116, 0.01207565, 0.1239967, 48.2335, 1.95573, 1.613646, 11.96841
 
0.6999996, -0.6363373, -0.1463089, 9.198102, 1.655545, 1.7866066209397474113167419351, 1204.109, -1502.066, -3.908116, 0.01207565, 0.1239967, 48.97336, 1.958255, 1.613121, 11.97497
 
0.7099996, -0.6367702, -0.1526723, 9.319401, 1.658617, 1.7351075053536417535566523567, 1240.782, -1502.931, -3.908116, 0.01207565, 0.1239967, 49.71474, 1.960793, 1.612595, 11.98154
 
0.7199996, -0.6362354, -0.15904, 9.441006, 1.661642, 1.6838093190446727289600123918, 1278.079, -1503.798, -3.908116, 0.01207565, 0.1239967, 50.45763, 1.963347, 1.61207, 11.9881
 
0.7299996, -0.6346846, -0.1654023, 9.562966, 1.664671, 1.6326869458531982583813908386, 1316.003, -1504.665, -3.908116, 0.01207565, 0.1239967, 51.20203, 1.965918, 1.611544, 11.99466
 
0.7399996, -0.632067, -0.1717492, 9.685278, 1.667703, 1.5817136998595986327287670453, 1354.556, -1505.534, -3.908116, 0.01207565, 0.1239967, 51.94791, 1.968506, 1.611019, 12.00123
 
0.7499996, -0.6283337, -0.1780699, 9.807838, 1.670638, 1.5308701160401512406644318306, 1393.739, -1506.403, -3.908116, 0.01207565, 0.1239967, 52.69524, 1.971114, 1.610493, 12.00779
 
0.7599996, -0.6234322, -0.1843532, 9.930798, 1.673627, 1.4801386130831066267865833534, 1433.556, -1507.273, -3.908116, 0.01207565, 0.1239967, 53.44402, 1.973741, 1.609968, 12.01436
 
